image,label,class
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (64).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (90).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (90).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (122).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (114).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (11).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (20).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (155).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (37).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (44).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (14).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (14).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (121).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (80).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (39).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (46).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (59).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (120).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (22).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (8).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (19).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (17).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (54).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (54).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (58).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (39).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (93).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (46).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (2).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (42).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (63).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (34).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (150).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (15).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (112).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (9).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (56).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (54).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (6).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (91).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (68).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (84).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (138).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (17).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (21).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (154).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (2).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (77).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (91).jpg,0,Anthracnose
